,BUILDING TYPE,TOTAL KWH,PREDICTION
19381,1,17661.0,1333.9999999198299
19382,1,81022.0,10095.000000077322
19384,1,100299.0,12072.00000011806
19385,1,9920.0,1432.9999999161428
19387,1,31823.0,3823.999999978734
19388,1,67189.0,7702.999999970109
19389,1,139357.0,20422.99999996571
19390,1,34614.0,3883.9999999661286
19391,1,96898.0,13236.000000029813
19392,1,113163.0,13315.999999999884
19393,1,31746.0,2824.999999992153
19394,1,144637.0,19153.0000003104
19395,1,108888.0,12810.000000007094
19396,1,20576.0,2461.9999999443608
19397,1,76705.0,9795.000000140099
19398,0,27219.0,2603.000000015156
19399,1,24455.0,3305.9999999922493
19400,1,48778.0,6154.999999973683
19401,1,53053.0,5787.000000187218
19402,1,95611.0,9104.999999875961
19403,1,15014.0,3024.999999902151
19404,1,143187.0,14744.000000163018
19406,1,151164.0,21030.000000022177
19407,1,18559.0,3108.9999999002393
19408,1,69462.0,6872.000000081682
19409,1,40548.0,4585.000000012164
19410,1,72002.0,8579.000000084028
19411,0,75268.0,10695.000000101361
19412,1,60121.0,7381.000000084041
19413,1,114853.0,11247.000000271051
19414,0,206886.0,23983.00000065589
19416,1,32100.0,3049.0000000101627
19418,1,39801.0,5493.000000019852
19419,1,102520.0,11555.000000226486
19420,1,25399.0,4952.999999963649
19421,1,35620.0,5193.9999999043885
19422,1,76868.0,10587.999999940665
19423,1,37803.0,7019.99999990536
19424,1,160690.0,17790.000000163393
19425,1,95176.0,10508.0000000174
19426,1,28409.0,3167.9999999695337
19427,1,70632.0,9672.000000037824
19428,1,20342.0,2874.9999999662687
19429,1,75256.0,9480.000000058444
19430,1,41051.0,4778.999999969028
19431,1,108150.0,9865.00000017352
19432,1,24264.0,2853.9999999901465
19433,1,108436.0,16604.000000141667
19434,1,118873.0,14968.000000071086
19435,1,118831.0,15797.000000125012
19436,1,122200.0,15519.000000091724
19437,1,92030.0,12452.000000085978
19438,1,120923.0,17461.00000014759
19439,1,96419.0,14968.000000130482
19440,1,120701.0,17566.000000105898
19441,1,128403.0,12176.000000104863
19442,1,110525.0,14672.000000067357
19443,1,98113.0,15021.000000182266
19444,1,98673.0,14547.999999996508
19445,1,76065.0,11723.000000044136
19446,1,96030.0,14122.000000038624
19447,1,45958.0,6202.999999997455
19449,1,124792.0,15562.000000103202
19450,1,126529.0,15044.00000007685
19451,1,143520.0,20173.00000013169
19452,1,144230.0,22479.000000046624
19453,1,22399.0,2118.0000000741948
19454,1,75873.0,9262.000000026244
19455,1,103394.0,15992.000000104013
19456,1,151594.0,24592.000000341955
19457,1,125923.0,18357.000000107575
19458,1,116984.0,18319.000000151394
19459,1,44855.0,6960.999999955846
19460,1,155974.0,18944.00000005586
19461,1,131807.0,16830.000000076187
19462,1,146769.0,23642.00000014594
19463,1,122224.0,17153.00000009501
19464,1,17259.0,996.999999906955
19465,1,127802.0,20162.000000048392
19466,1,23505.0,2892.999999901087
19467,1,125631.0,17516.000000157695
19468,1,82555.0,10787.999999983042
19469,1,119016.0,16650.000000173884
19470,1,250044.0,32184.00000031081
19471,1,49106.0,5692.000000076945
19472,1,78744.0,11968.999999982621
19473,1,133818.0,16895.00000013046
19474,1,124393.0,17820.99999981392
19475,1,107827.0,15359.999999996786
19476,1,48909.0,6166.0000000114
19477,1,87692.0,12727.000000027754
19478,1,91031.0,10844.999999847088
19479,1,139882.0,20607.00000008357
19480,1,93969.0,11912.000000063825
19481,1,151933.0,18319.00000006378
19482,1,80226.0,11936.000000003365
19483,1,109671.0,13061.999999989166
19484,1,87679.0,8694.00000006423
19485,1,103693.0,15532.000000052203
19486,1,78631.0,12088.00000015552
19487,1,41272.0,6783.000000025939
19488,1,103410.0,11334.999999984018
19489,1,89716.0,11324.00000009498
19490,1,86752.0,13026.000000019725
19491,1,116590.0,15569.000000026204
19492,1,52828.0,6304.999999964979
19493,1,46933.0,3677.999999929707
19494,1,39250.0,5492.000000059581
19495,1,54328.0,8064.999999918695
19497,0,80580.0,7460.000000172153
19498,1,79570.0,10002.000000077387
19500,1,44017.0,6164.00000004952
19501,1,103229.0,16332.999999940574
19502,1,52742.0,6346.000000091899
19503,1,28969.0,4225.999999939069
19504,1,88111.0,13305.000000118063
19505,1,80887.0,10122.000000068743
19506,1,24907.0,4366.99999999648
19507,1,83247.0,11646.00000006106
19508,1,122421.0,14030.000000120894
19510,1,100364.0,12548.000000000924
19511,1,119248.0,19235.000000090262
19513,1,117601.0,12891.000000017826
19514,1,123932.0,19475.0000001122
19515,1,51515.0,7732.000000035159
19516,1,67498.0,10800.000000082011
19517,1,116682.0,16758.000000043445
19518,1,90016.0,9902.999999976633
19519,1,109803.0,15116.000000025795
